地址,十六进制格式,高五位,S3~S0,A字段,B字段,C字段,UA5~UA0
00,00 00 01,00000,0000,000,000,000,000001
01,00 6D 43,00000,0000,110,110,101,000011
03,10 70 70,00010,0000,111,000,001,110000
04,00 24 05,00000,0000,010,010,000,000101
05,04 B2 01,00000,1001,011,001,000,000001
06,00 24 07,00000,0000,010,010,000,000111
07,01 32 01,00000,0010,011,001,000,000001
08,10 60 09,00010,0000,110,000,000,001001
09,18 30 01,00011,0000,011,000,000,000001
0A,10 60 10,00010,0000,110,000,000,010000
0B,00 00 01,00000,0000,000,000,000,000001
0C,10 30 01,00010,0000,011,000,000,000001
0D,20 06 01,00100,0000,000,011,000,000001
0E,00 53 41,00000,0000,101,001,101,000001
0F,00 00 CB,00000,0000,000,000,011,001011
10,28 04 01,00101,0000,000,010,000,000001
11,10 30 01,00010,0000,011,000,000,000001
12,06 B2 01,00000,1101,011,001,000,000001
13,00 24 14,00000,0000,010,010,000,010100
14,05 B2 01,00000,1011,011,001,000,000001
15,00 24 16,00000,0000,010,010,000,010110
16,01 B2 01,00000,0011,011,001,000,000001
17,00 24 18,00000,0000,010,010,000,011000
18,02 B2 01,00000,0101,011,001,000,000001
19,00 24 1A,00000,0000,010,010,000,011010 /*改*/
1A,05 80 01,00000,1011,000,000,000,000001 /*改*/
1C,10 10 1D,00010,0000,001,000,000,011101
1D,10 60 8C,00010,0000,110,000,010,001100
1E,10 60 1F,00010,0000,110,000,000,011111
1F,10 10 20,00010,0000,001,000,000,100000
20,10 60 8C,00010,0000,110,000,010,001100
28,10 10 29,00010,0000,001,000,000,101001
29,00 28 2A,00000,0000,010,100,000,101010
2A,04 E2 2B,00000,1001,110,001,000,101011
2B,04 92 8C,00000,1001,001,001,010,001100
2C,10 10 2D,00010,0000,001,000,000,101101
2D,00 2C 2E,00000,0000,010,110,000,101110
2E,04 E2 2F,00000,1001,110,001,000,101111
2F,04 92 8C,00000,1001,001,001,010,001100
30,00 16 04,00000,0000,001,011,000,000100
31,00 16 06,00000,0000,001,011,000,000110
32,00 6D 48,00000,0000,110,110,101,001000
33,00 6D 4A,00000,0000,110,110,101,001010
34,00 34 01,00000,0000,011,010,000,000001
35,00 00 35,00000,0000,000,000,000,110101
36,00 6D 51,00000,0000,110,110,101,010001
37,00 16 12,00000,0000,001,011,000,010010
38,00 16 13,00000,0000,001,011,000,010011
39,00 16 15,00000,0000,001,011,000,010101
3A,00 16 17,00000,0000,001,011,000,010111
3B,00 16 19,00000,0000,001,011,000,011001 /*改*/
3C,00 6D 5C,00000,0000,110,110,101,011100
3D,00 6D 5E,00000,0000,110,110,101,011110
3E,00 6D 68,00000,0000,110,110,101,101000
3F,00 6D 6C,00000,0000,110,110,101,101100
/*
改3B,02,19
*/